Дата формирования:,08.07.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Период отчета:,28 дней,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория 3 уровня:,Пленка для ламинирования,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Название товара,Ссылка на товар,Продавец,Бренд,Категория 1 уровня,Категория 3 уровня,Признак товара,"Заказано на сумму, ₽","Динамика оборота, %","Заказано, штуки","Средняя цена, ₽","Минимальная цена, ₽","Доля выкупа, %","Упущенные продажи, ₽",Дней без остатка,"Ср. время доставки до покупателя, часы","Среднесуточные продажи, ₽","Среднесуточные продажи, штуки","Остаток на конец периода, штуки",Схема работы,"Объем товара, л",Показы всего,Просмотры в поиске и каталоге,Просмотры карточки,"Конверсия из показа в заказ, %","В корзину из поиска и каталога, %","В корзину из карточки, %",Скидка за счет акций,"Доля оборота в акциях, %",Дней в акциях,Дней с продвижением,"Доля рекламных расходов, %",Дата создания карточки товара
"Пленка для ламинирования REVCOL, A5 (154x216 мм), 100 мкм, глянцевая, 100 шт.",https://www.ozon.ru/product/1631821530,ТехноОпт,Revcol,Электроника,Пленка для ламинирования,,1718,110,2,859,859,100,1359,28 из 28,45 ч,91,0,0,FBS,0.8,179,97,3,1.12,2.06,66.66,0,0,0 из 28,0 из 28,0,2024-07-18
"Пленка для ламинирования Office Kit, глянцевая, формат А5, размер 154х216 мм, толщина 250 мкм",https://www.ozon.ru/product/1705863035,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,,3620,-44,4,905,881,33.3,1348,25 из 28,60 ч,123,0,0,"FBO,FBS",1.8,866,159,118,0.46,0.62,3.38,13.2,100,11 из 28,0 из 28,0,2024-09-26
Пленка для ламинирования А4 150 мкм 100 шт,https://www.ozon.ru/product/2293679213,"ООО ""АРВАДА""",без бренда,Электроника,Пленка для ламинирования,Super,19970,385,16,1248,1240,100,1340,24 из 28,52 ч,447,1,68,FBO,2.9,4994,3626,358,0.32,0.46,5.58,0.8,18.6,4 из 28,0 из 28,3.7,2025-06-14
"Пленка глянцевая, листы для ламинирования 85x120 мм, толщина 100 мкм, 100 л",https://www.ozon.ru/product/1271687752,deVENTE,deVENTE,Электроника,Пленка для ламинирования,,8725,35,41,213,183,90,1291,26 из 28,68 ч,215,2,8,FBO,0.3,15070,2490,750,0.27,1.04,6.8,0,0,0 из 28,0 из 28,11.4,2023-11-02
"Пленка для ламинирования ГЕЛЕОС А4, 60 мкм, 100 шт, в наборе 20 упаковок",https://www.ozon.ru/product/1857830538,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,23670,44,3,7890,7635,100,1185,28 из 28,60 ч,593,0,2,FBS,31,2794,439,906,0.11,0,1.21,9.1,64.5,4 из 28,0 из 28,0,2025-02-05
Пленка для ламинирования глянцевая А7 100 штук 80 мкм,https://www.ozon.ru/product/158009282,Самсон,Brauberg,Электроника,Пленка для ламинирования,,9058,75,26,348,330,76,1181,21 из 28,50 ч,197,1,8,FBO,0.2,4935,2719,288,0.53,0.73,8.68,5.9,3.9,3 из 28,0 из 28,0,2019-09-03
Пленка для ламинирования глянцевая 54х86 мм 100 штук 100 мкм,https://www.ozon.ru/product/158009251,Самсон,Brauberg,Электроника,Пленка для ламинирования,,2785,-66,9,309,302,88.8,1173,25 из 28,53 ч,107,1,0,FBO,0.1,2712,804,72,0.33,0.62,16.66,5.9,54.2,8 из 28,0 из 28,0,2019-09-03
"Пленка для ламинирования Office-Kit 216x303 60мик / PLP100123 (100шт, глянец)",https://www.ozon.ru/product/1059555623,21vek,Office Kit,Электроника,Пленка для ламинирования,,2964,Нет данных,4,741,741,100,1139,28 из 28,49 ч,127,0,2,FBS,1.5,1971,168,34,0.2,0,5.88,9.9,100,11 из 28,0 из 28,0,2023-07-01
"Пленка BRAUBERG для ламинирования А4, 100 шт., 125 мкм (530803-4027)",https://www.ozon.ru/product/2488847877,БЭТЕЛЬ,Brauberg,Электроника,Пленка для ламинирования,,3040,Нет данных,2,1520,1520,100,1113,28 из 28,83 ч,111,0,1338,FBS,3.8,318,237,10,0.63,0,20,0,0,0 из 28,0 из 28,0,2025-07-17
"Пленка для ламинирования Lamirel, А4, 100мкм, 100 шт.",https://www.ozon.ru/product/1744730495,Ресурс-Медиа,Lamirel,Электроника,Пленка для ламинирования,,4064,3,4,1016,1016,Нет данных,1085,28 из 28,60 ч,60,0,0,FBS,1.4,416,103,8,0.96,0,25,0,0,0 из 28,0 из 28,0,2024-10-30
"Пленка для ламинирования Office Kit 60мкм, A4, 100 штук, глянцевая, 216x303мм (PLP100123)",https://www.ozon.ru/product/1660503686,БЭТЕЛЬ,Office Kit,Электроника,Пленка для ламинирования,,801,Нет данных,1,801,801,100,947,18 из 28,28 ч,53,0,0,FBS,1.5,1581,136,18,0.06,0,16.66,13.2,100,12 из 28,0 из 28,0,2024-08-16
"Пленка для ламинирования Promega office А4, 100мкм 50шт/уп",https://www.ozon.ru/product/1607525205,1й ПОСЫЛТОРГ,ProMega,Электроника,Пленка для ламинирования,,1448,Нет данных,1,1448,1448,100,891,28 из 28,45 ч,81,0,0,FBS,5.5,205,171,2,0.49,0,50,0,0,0 из 28,0 из 28,0,2024-06-18
Чистящие листы для ламинатора (10 шт) очистка валов A3 и A4 формата Fellowes FS-53206,https://www.ozon.ru/product/1245710414,1digital,Fellowes,Электроника,Пленка для ламинирования,,3399,-27,3,1133,949,100,852,21 из 28,65 ч,122,0,0,FBS,0.4,816,438,44,0.37,0.22,9.09,22.5,27.9,1 из 28,0 из 28,0,2023-10-16
Пленка-пакет для ламинирования ProMega office А5 154x216 мм 100 мкм глянцевая (100 штук в упаковке),https://www.ozon.ru/product/2134326983,Комус,ProMega,Электроника,Пленка для ламинирования,,1778,Нет данных,2,889,889,100,845,23 из 28,45 ч,56,0,0,FBS,0.8,190,150,7,1.05,0,28.57,0,0,0 из 28,0 из 28,0,2025-05-14
"Пленка для ламинирования ГЕЛЕОС А4 75 мкм 100 шт, в наборе 10 упаковок",https://www.ozon.ru/product/1857949112,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,15999,202,3,5333,4999,100,842,28 из 28,53 ч,421,0,2,FBS,14.9,2764,455,822,0.11,0,0.12,9.1,31.2,4 из 28,0 из 28,0,2025-02-05
Пленка для ламинирования глянцевая 65х95 мм 100 штук 100 мкм,https://www.ozon.ru/product/158009253,Самсон,Brauberg,Электроника,Пленка для ламинирования,Топ-50% по продажам,37297,234,91,410,352,62.7,826,22 из 28,43 ч,827,3,18,FBO,0.2,11670,3964,661,0.78,1.69,11.95,9.6,13.1,8 из 28,0 из 28,10.3,2019-09-03
"Рулонная плёнка для ламинирования цифровой печати Bulros BOPP Megabond (330мм х 150м) 27 мкм, глянцевая, полипропиленовая, втулка 25мм",https://www.ozon.ru/product/1537122562,1digital,Bulros,Электроника,Пленка для ламинирования,,7050,106,2,3525,3525,100,821,28 из 28,45 ч,205,0,0,FBS,2.1,421,165,22,0.48,0,9.09,0,0,1 из 28,0 из 28,0,2024-04-08
Пленка для ламинирования А4 216х303мм 60 мкм 100 шт. в пачке,https://www.ozon.ru/product/1215019004,-Ластик и промокашка-,MQ,Электроника,Пленка для ламинирования,,5440,18,10,544,525,100,796,17 из 28,52 ч,159,0,19,FBO,1,3001,1131,111,0.33,0.17,9.9,60.4,100,24 из 28,0 из 28,0,2023-09-28
"8,5 см х 12 см. 75 микрон. (85х120мм) Пленка для ламинирования, глянцевая",https://www.ozon.ru/product/880430331,Салют,без бренда,Электроника,Пленка для ламинирования,,560,-50,2,280,280,50,780,27 из 28,105 ч,43,0,0,"FBO,FBS",0.2,636,540,37,0.31,0.18,10.81,0,0,0 из 28,0 из 28,0,2023-03-02
Плёнка для ламинирования 80х115,https://www.ozon.ru/product/1612126986,TopShop,без бренда,Электроника,Пленка для ламинирования,,600,-33,2,300,300,50,764,28 из 28,45 ч,35,0,0,FBS,0.2,127,51,14,1.58,0,14.28,0,0,1 из 28,0 из 28,0,2024-06-24
"Пленка BRAUBERG для ламинирования (54х86 мм), 100 шт., 100 мкм (530904-4027)",https://www.ozon.ru/product/2488848846,БЭТЕЛЬ,Brauberg,Электроника,Пленка для ламинирования,,1800,Нет данных,5,360,360,40,735,22 из 28,56 ч,74,0,888,"FBO,FBS",0.1,551,176,20,0.91,0,15,0,0,0 из 28,0 из 28,0,2025-07-17
Пленка для ламинирования глянцевая А4 60мкм 100шт Won Lami,https://www.ozon.ru/product/563811676,Alfa Computer,Won Lam,Электроника,Пленка для ламинирования,,1892,-34,2,946,946,100,721,28 из 28,72 ч,120,0,0,FBS,3.5,575,325,8,0.35,0.61,25,0,0,0 из 28,0 из 28,0,2022-04-21
"Пленка для ламинирования ProMega Office, 303x426 мм, А3, 80 мкм, глянцевая, 50 штук",https://www.ozon.ru/product/916937012,Комус,ProMega,Электроника,Пленка для ламинирования,,4349,-29,4,1087,912,100,694,18 из 28,39 ч,99,0,6,FBO,1.3,1484,735,103,0.27,1.22,4.85,34,21,10 из 28,0 из 28,0,2023-03-30
"Пленка для ламинирования А4 ГЕЛЕОС 100 мкм 100 шт, в комплекте 10 упаковок",https://www.ozon.ru/product/1858384335,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super; Лидер по продажам,20944,48,3,6981,6544,50,688,28 из 28,95 ч,344,0,20,FBS,19.7,2742,458,633,0.11,0.21,1.73,9.1,31.2,4 из 28,0 из 28,0,2025-02-05
"Обложки для переплета, А4, пластиковые, текстура гладкая, 200 мкм, полупрозрачные, 100 шт",https://www.ozon.ru/product/712919842,Комус,без бренда,Электроника,Пленка для ламинирования,,3361,-59,3,1120,1058,50,622,28 из 28,105 ч,104,0,0,FBO,1.4,924,343,77,0.33,0.29,5.19,0,0,0 из 28,0 из 28,0,2022-09-14
Пленка для ламинирования глянцевая 65х95 мм 100 штук 75 мкм,https://www.ozon.ru/product/158009284,Самсон,Brauberg,Электроника,Пленка для ламинирования,,11456,15,38,301,282,68.4,571,26 из 28,54 ч,286,1,0,FBO,0.1,7901,2832,433,0.48,1.55,4.61,5.6,10,8 из 28,0 из 28,0,2019-09-03
"Плёнка для ламинирования рулонная 350мм x 75мкн x 100м, 1"" (ETinex)",https://www.ozon.ru/product/616575336,МОнлайн,MOONPEACH,Электроника,Пленка для ламинирования,,6504,Нет данных,2,3252,3252,100,570,28 из 28,90 ч,190,0,0,FBS,14.8,373,73,10,0.54,0,10,0,0,0 из 28,0 из 28,0,2022-06-15
Пленка для ламинирования Fellowes 125мкм A4 (25шт) глянцевая 216x303мм CRC-53963 (FS-53963),https://www.ozon.ru/product/536454745,1й! МАКРОТЕК,Fellowes,Электроника,Пленка для ламинирования,,2283,Нет данных,3,761,761,100,560,6 из 28,28 ч,93,0,0,FBS,2,104,83,2,2.89,0,50,3.3,100,21 из 28,0 из 28,0,2022-03-28
"7см х 10см, 60мкм. Пленка (70х100мм) для горячего ламинирования, глянцевая.",https://www.ozon.ru/product/1554873935,Салют,без бренда,Электроника,Пленка для ламинирования,,700,17,2,350,300,100,521,28 из 28,60 ч,37,0,0,FBS,0.1,436,253,16,0.46,0.39,18.75,0,0,1 из 28,0 из 28,0,2024-04-22
"Пленка 111х154 (100 мик) 100 шт./ Пленка для ламинирования A6, 111х154 (100 мкм) глянцевая 100шт, ГЕЛЕОС LPA6-100",https://www.ozon.ru/product/1398476870,БЭТЕЛЬ,ГЕЛЕОС,Электроника,Пленка для ламинирования,,1078,Нет данных,2,539,539,100,516,28 из 28,45 ч,43,0,0,FBS,0.4,102,57,2,1.96,0,100,0,0,14 из 28,0 из 28,0,2024-01-22
"Пленки-заготовки для ламинирования Brauberg А4, 100 шт, 100 мкм (530801)",https://www.ozon.ru/product/1560474592,Юмитой,Brauberg,Электроника,Пленка для ламинирования,,3036,Нет данных,2,1518,1518,100,471,28 из 28,60 ч,94,0,35,FBS,1.6,227,127,5,0.88,0,20,0,0,0 из 28,0 из 28,0,2024-04-26
"Пленки-заготовки д/ламинирования А4, КОМПЛЕКТ 100шт, 125 мкм, BRAUBERG, 530803",https://www.ozon.ru/product/2089064169,ПринтАрсенал,Brauberg,Электроника,Пленка для ламинирования,,5484,297,4,1371,1371,100,468,20 из 28,67 ч,156,0,20,FBS,1.7,448,233,11,0.89,0.42,18.18,0,0,0 из 28,0 из 28,0,2025-04-30
Пленка для холодного ламинирования Сахар А3 5шт,https://www.ozon.ru/product/1620533670,ToryHome,без бренда,Электроника,Пленка для ламинирования,,910,-16,1,910,910,100,459,28 из 28,75 ч,38,0,0,FBO,1.3,1226,831,44,0.08,0.48,6.81,15.7,100,8 из 28,0 из 28,0,2024-07-04
Пленка для ламинирования Office Kit PLP11523-1 A4 175мкм (100шт),https://www.ozon.ru/product/595294828,Позитроника,Office Kit,Электроника,Пленка для ламинирования,,8330,Нет данных,7,1190,1190,85.7,405,20 из 28,85 ч,203,0,9,FBS,2,702,254,42,1,0.78,16.66,31.6,100,6 из 28,0 из 28,0,2022-05-24
"Пленки-заготовки д/ламинирования НА КЛЕЕВОЙ ОСНОВЕ, А4, КОМПЛЕКТ 25шт, 75 мкм, BRAUBERG, 531798",https://www.ozon.ru/product/1752906077,ALLcartridges,Brauberg,Электроника,Пленка для ламинирования,,3564,192,3,1188,1188,100,371,28 из 28,45 ч,124,0,10,FBS,0.8,264,221,8,1.14,0,12.5,0,0,0 из 28,0 из 28,0,2024-11-08
"Пленка для ламинирования A4, 216х303 (80 мкм) глянцевая 100шт, ГЕЛЕОС (LPA4-80)",https://www.ozon.ru/product/966323393,Getsy,ГЕЛЕОС,Электроника,Пленка для ламинирования,,810,Нет данных,1,810,810,100,366,28 из 28,45 ч,33,0,18,FBS,1.1,464,291,5,0.22,0.34,20,0,0,0 из 28,0 из 28,0,2023-05-04
Пленка для ламинирования Office Kit 100мкм A2 (100шт) глянцевая 426x600мм PLP10640,https://www.ozon.ru/product/859891722,1й! МАКРОТЕК,Office Kit,Электроника,Пленка для ламинирования,,3840,Нет данных,1,3840,3840,100,355,28 из 28,90 ч,118,0,0,FBS,2.6,213,128,14,0.47,0,7.14,0,0,0 из 28,0 из 28,0,2023-02-10
"Пленка для ламинирования ProMega Office, 85x120 мм, А7, 150 мкм, глянцевая, 100 штук",https://www.ozon.ru/product/389113227,Комус,ProMega,Электроника,Пленка для ламинирования,,2038,8,5,408,406,100,351,21 из 28,42 ч,59,0,0,FBO,0.4,1056,545,90,0.47,0.91,5.55,1.9,19.9,2 из 28,0 из 28,0,2021-11-16
Голографический ламинат Щит и Меч 10шт.,https://www.ozon.ru/product/577204400,ГолограммыРу,без бренда,Электроника,Пленка для ламинирования,,12437,85,4,3109,3069,100,349,19 из 28,41 ч,349,0,2,FBS,0.5,1029,320,237,0.39,0,1.26,13.6,100,28 из 28,0 из 28,0,2022-05-04
"Пленка для ламинирования Silwerhof 125мкм, A7, 100 штук, глянцевая, 80x111мм (1982637)",https://www.ozon.ru/product/1659406957,БЭТЕЛЬ,Silwerhof,Электроника,Пленка для ламинирования,,1593,Нет данных,3,531,531,100,304,28 из 28,60 ч,51,0,1,FBS,0.3,259,218,6,1.16,0,16.66,0,0,4 из 28,0 из 28,0,2024-08-15
Голографическая пленка 3D эффект для холодной ламинации / 25 мкм / Рулон 300мм*100м,https://www.ozon.ru/product/1590055130,Unstroked Printshop,Unstroked,Электроника,Пленка для ламинирования,,5944,-11,3,1981,1855,100,301,28 из 28,85 ч,151,0,0,FBS,7.7,1427,475,92,0.21,0.63,4.34,24.6,100,19 из 28,0 из 28,0,2024-05-30
"Пленка для ламинирования Promega office А4, 60 мкм, 100 шт./уп.",https://www.ozon.ru/product/1861486558,FAMILY OPT,ProMega,Электроника,Пленка для ламинирования,,520,-35,1,520,520,100,297,28 из 28,60 ч,25,0,0,FBO,3,449,334,18,0.22,0.89,11.11,34.9,100,3 из 28,0 из 28,0,2025-02-07
"Пленка для ламинирования Lamirel, А5, 100мкм, 100 шт.",https://www.ozon.ru/product/1744806927,Ресурс-Медиа,Lamirel,Электроника,Пленка для ламинирования,,743,4,1,743,743,100,296,11 из 28,28 ч,27,0,0,FBS,4.5,224,138,5,0.45,0,40,0,0,0 из 28,0 из 28,0,2024-10-30
"Пленки-заготовки д/ламинирования А4, КОМПЛЕКТ 100шт, 150 мкм, BRAUBERG, 531776",https://www.ozon.ru/product/2005261814,ПринтАрсенал,Brauberg,Электроника,Пленка для ламинирования,,3404,Нет данных,2,1702,1702,100,296,28 из 28,75 ч,99,0,20,FBS,2.2,173,50,13,1.16,0,7.69,0,0,0 из 28,0 из 28,0,2025-04-07
"Пленка для ламинирования А7 OfficeSpace 80*111мм, 125 мкм, глянец, 100 листов",https://www.ozon.ru/product/1660151408,БЭТЕЛЬ,OfficeSpace,Электроника,Пленка для ламинирования,,2165,Нет данных,5,433,433,Нет данных,280,28 из 28,87 ч,70,0,3797,"FBO,FBS",0.6,623,383,17,0.8,0.52,17.64,12.7,100,18 из 28,0 из 28,0,2024-08-16
Пленка для ламинирования глянцевая А4 Клеевая Основа 75 мкм,https://www.ozon.ru/product/158009296,Самсон,Brauberg,Электроника,Пленка для ламинирования,,10613,-31,14,758,612,100,277,18 из 28,48 ч,277,1,7,FBO,0.8,11877,9812,195,0.12,0.13,8.71,8.2,40.7,17 из 28,0 из 28,16.4,2019-09-03
"Пленка для ламинирования Lamirel, А3, 125мкм, 100 шт.",https://www.ozon.ru/product/1763742928,Ресурс-Медиа,Lamirel,Электроника,Пленка для ламинирования,,4610,102,2,2305,2305,Нет данных,277,28 из 28,45 ч,139,0,0,FBS,5,264,138,5,0.76,0.72,20,0,0,0 из 28,0 из 28,0,2024-11-21
"Пленка для ламинирования REVCOL, A6 (111x154 мм), 100 мкм, глянцевая, 100 шт.",https://www.ozon.ru/product/1632694234,ТехноОпт,Revcol,Электроника,Пленка для ламинирования,,1116,Нет данных,2,558,558,100,252,28 из 28,45 ч,36,0,2,FBS,0.4,217,133,4,0.92,0,50,0,0,0 из 28,0 из 28,0,2024-07-19
